Species	Ks
AP13K_AP13N	0.116843
AP13K_AP13N	0.189815
AP13K_AP13N	0.649667
AP13K_AP13N	0.114793
AP13K_AP13N	0.30111
AP13K_AP13N	0.206724
AP13K_AP13N	0.0996732
AP13K_AP13N	0.277116
AP13K_AP13N	0.335501
AP13K_AP13N	0.161905
AP13K_AP13N	0.202751
AP13K_AP13N	0.0019685
AP13K_AP13N	0.0798867
AP13K_AP13N	0.402157
AP13K_AP13N	0.544304
AP13K_AP13N	0.108516
AP13K_AP13N	0.612565
AP13K_AP13N	0.203934
AP13K_AP13N	0.206366
AP13K_AP13N	0.0574792
AP13K_AP13N	0.184041
AP13K_AP13N	0.17747
AP13K_AP13N	0.241573
AP13K_AP13N	0.231195
AP13K_AP13N	0.114977
AP13K_AP13N	0.150983
AP13K_AP13N	0.138444
AP13K_AP13N	0.158416
AP13K_AP13N	0.41844
AP13K_AP13N	0.0366162
AP13K_AP13N	0.0196281
AP13K_AP13N	0.080148
AP13K_AP13N	0.209756
AP13K_AP13N	0.336347
AP13K_AP13N	0.400111
AP13K_AP13N	0.0408664
AP13K_AP13N	0.491296
AP13K_AP13N	0.06639
AP13K_AP13N	0.620253
AP13K_AP13N	0.0777288
AP13K_AP13N	0.253846
AP13K_AP13N	0.0984419
AP13K_AP13N	0.0119225
AP13K_AP13N	0.434718
AP13K_AP13N	0.321993
AP13K_AP13N	0.162602
AP13K_AP13N	0.730284
AP13K_AP13N	0.262136
AP13K_AP13N	0.27933
AP13K_AP13N	0.167333
AP13K_AP13N	0.398506
AP13K_AP13N	0.117828
AP13K_AP13N	0.195956
AP13K_AP13N	0.53288
AP13K_AP13N	0.0712831
AP13K_AP13N	0.207463
AP13K_AP13N	0.137104
AP13K_AP13N	0.369146
AP13K_AP13N	0.52802
AP13K_AP13N	0.335411
AP13K_AP13N	0.0737101
AP13K_AP13N	0.413793
AP13K_AP13N	0.290058
AP13K_AP13N	0.0800196
AP13K_AP13N	0.0627063
AP13K_AP13N	0.378973
AP13K_AP13N	0.145726
AP13K_AP13N	0.162621
AP13K_AP13N	0.120879
AP13K_AP13N	0.148334
AP13K_AP13N	0.368421
AP13K_AP13N	0.244053
AP13K_AP13N	0.192149
AP13K_AP13N	0.196604
AP13K_AP13N	0.103413
AP13K_AP13N	0.0909091
AP13K_AP13N	0.322141
AP13K_AP13N	0.140551
AP13K_AP13N	0.491765
AP13K_AP13N	0.123512
AP13K_AP13N	0.12242
AP13K_AP13N	0.197362
AP13K_AP13N	0.888563
AP13K_AP13N	0.455683
AP13K_AP13N	0.148568
AP13K_AP13N	0.550595
AP13K_AP13N	0.272222
AP13K_AP13N	0.353165
AP13K_AP13N	0.29669
AP13K_AP13N	0.489091
AP13K_AP13N	0.0978495
AP13K_AP13N	0.133566
AP13K_AP13N	0.153205
AP13K_AP13N	0.329939
AP13K_AP13N	0.217391
AP13K_AP13N	0.263393
AP13K_AP13N	0.190887
AP13K_AP13N	0.201357
AP13K_AP13N	0.411022
AP13K_AP13N	0.318307
AP13K_AP13N	0.53527
AP13K_AP13N	0.105937
AP13K_AP13N	0.0645161
AP13K_AP13N	0.223338
AP13K_AP13N	0.240096
AP13K_AP13N	0.116848
AP13K_AP13N	0.125912
AP13K_AP13N	0.204268
AP13K_AP13N	0.244681
AP13K_AP13N	0.0355487
AP13K_AP13N	0.496276
AP13K_AP13N	0.181185
AP13K_AP13N	0.437615
AP13K_AP13N	0.255919
AP13K_AP13N	0.316953
AP13K_AP13N	0.459916
AP13K_AP13N	0.25
AP13K_AP13N	0.116115
AP13K_AP13N	0.123563
AP13K_AP13N	0.0680513
AP13K_AP13N	0.251905
AP13K_AP13N	0.117347
AP13K_AP13N	0.205621
AP13K_AP13N	0.176267
AP13K_AP13N	0.169231
AP13K_AP13N	0.178697
AP13K_AP13N	0.128587
AP13K_AP13N	0.127843
AP13K_AP13N	0.054251
AP13K_AP13N	0.562273
AP13K_AP13N	0.228538
AP13K_AP13N	0.285441
AP13K_AP13N	0.392202
AP13K_AP13N	0.134371
AP13K_AP13N	0.178021
